Models,Accuracy,Acc_Std,Acc_95%CI,Precision,Precision_Std,Precision_95%CI,Recall,Recall_Std,Recall_95%CI,F1Score,F1Score_Std,F1Score_95%CI,AUC,AUC_std,AUC_95%CI
XGB_Calibrated,0.7463442622950819,0.022171184792991835,0.7028887401008179 - 0.7897997844893458,0.8072765079846534,0.057542663376993396,0.6944928877657464 - 0.9200601282035605,0.69371875,0.09937062937770103,0.49895231641970605 - 0.888485183580294,0.7383478783436256,0.0401908370187589,0.6595738377868582 - 0.817121918900393,0.8109897629310344,0.016427021018790545,0.778792801734205 - 0.8431867241278639
XGB_Non_Calibrated,0.7459836065573769,0.022126877528547525,0.7026149266014238 - 0.7893522865133301,0.807599039508506,0.05759641005028464,0.694710075809948 - 0.9204880032070639,0.69240625,0.0995129324367424,0.4973609024239849 - 0.8874515975760151,0.7376878417518183,0.04033731952320024,0.6586266954863459 - 0.8167489880172908,0.7692090517241379,0.017646782966871794,0.7346213571090692 - 0.8037967463392066
SVM_Calibrated,0.7196229508196721,0.023439959928048013,0.673680629360698 - 0.7655652722786462,0.7210950711854127,0.0634777164471959,0.5966787469489088 - 0.8455113954219167,0.79365625,0.13901572310248653,0.5211854327191263 - 1.0661270672808736,0.7426692903669266,0.050600834405265784,0.6434916549326057 - 0.8418469258012475,0.7936567887931034,0.025146846179203555,0.7443689702818644 - 0.8429446073043424
SVM_Non_Calibrated,0.7191803278688523,0.025782948505548534,0.6686457487979772 - 0.7697149069397274,0.7195550067893853,0.0711614437578026,0.5800785770240923 - 0.8590314365546784,0.7924375,0.14312640833372614,0.5119097396658968 - 1.072965260334103,0.7413335873971998,0.06030438292972029,0.623136996854948 - 0.8595301779394515,0.7477623922413793,0.035560686366382786,0.678063446963269 - 0.8174613375194896
RF_Calibrated,0.7411147540983606,0.016193134531103305,0.7093762104173981 - 0.7728532977793231,0.8502922194235788,0.06405748008720727,0.7247395584526526 - 0.975844880394505,0.62753125,0.08026467469529446,0.4702124875972229 - 0.7848500124027771,0.7154616052596178,0.03220104906504754,0.6523475490921246 - 0.778575661427111,0.8118135775862069,0.013626636400138378,0.7851053702419356 - 0.8385217849304781
RF_Non_Calibrated,0.7411147540983606,0.016193134531103305,0.7093762104173981 - 0.7728532977793231,0.8502922194235788,0.06405748008720727,0.7247395584526526 - 0.975844880394505,0.62753125,0.08026467469529446,0.4702124875972229 - 0.7848500124027771,0.7154616052596178,0.03220104906504754,0.6523475490921246 - 0.778575661427111,0.7665161637931035,0.015113690551467924,0.7368933303122264 - 0.7961389972739806
NB_Calibrated,0.6977868852459017,0.01588315398188213,0.6666559034414128 - 0.7289178670503906,0.8508176936178921,0.09170679045089898,0.6710723843341301 - 1.0305630029016541,0.54334375,0.12236505467265783,0.30350824284159067 - 0.7831792571584093,0.6470654603290333,0.04910590282943702,0.5508178907833368 - 0.7433130298747299,0.7820910560344828,0.02378212609080414,0.7354780888965067 - 0.828704023172459
NB_Non_Calibrated,0.6977868852459017,0.01588315398188213,0.6666559034414128 - 0.7289178670503906,0.8508176936178921,0.09170679045089898,0.6710723843341301 - 1.0305630029016541,0.54334375,0.12236505467265783,0.30350824284159067 - 0.7831792571584093,0.6470654603290333,0.04910590282943702,0.5508178907833368 - 0.7433130298747299,0.7395026939655172,0.02218222852817859,0.6960255260502871 - 0.7829798618807472
LR_Calibrated,0.7405573770491801,0.012722899241018293,0.7156204945367842 - 0.765494259561576,0.7719152671161449,0.07037199346046534,0.6339861599336328 - 0.9098443742986569,0.74890625,0.13278061686727155,0.48865624094014776 - 1.0091562590598522,0.7467153722487617,0.041854898624435324,0.6646797709448685 - 0.8287509735526549,0.8335883620689656,0.008187019115715163,0.8175418046021639 - 0.8496349195357673
LR_Non_Calibrated,0.7405573770491801,0.012722899241018293,0.7156204945367842 - 0.765494259561576,0.7719152671161449,0.07037199346046534,0.6339861599336328 - 0.9098443742986569,0.74890625,0.13278061686727155,0.48865624094014776 - 1.0091562590598522,0.7467153722487617,0.041854898624435324,0.6646797709448685 - 0.8287509735526549,0.7959278017241379,0.008691680850318946,0.7788921072575128 - 0.812963496190763
LGBM_Calibrated,0.736622950819672,0.02067937260378097,0.6960913805162613 - 0.7771545211230827,0.7769850941893747,0.05652816747389007,0.6661898859405502 - 0.8877803024381992,0.7158125,0.10342814401662985,0.5130933377274054 - 0.9185316622725945,0.7368703555791062,0.041164175483905836,0.6561885716306508 - 0.8175521395275616,0.8020953663793103,0.01672558142223713,0.7693132267917255 - 0.8348775059668951
LGBM_Non_Calibrated,0.736622950819672,0.02067937260378097,0.6960913805162613 - 0.7771545211230827,0.7769850941893747,0.05652816747389007,0.6661898859405502 - 0.8877803024381992,0.7158125,0.10342814401662985,0.5130933377274054 - 0.9185316622725945,0.7368703555791062,0.041164175483905836,0.6561885716306508 - 0.8175521395275616,0.7633092672413793,0.017598008811143227,0.7288171699715386 - 0.79780136451122
KNN_Calibrated,0.7410983606557375,0.017093560131459268,0.7075949827980774 - 0.7746017385133976,0.8135784693350417,0.061151435241435674,0.6937216562618278 - 0.9334352824082557,0.673625,0.10048322311773308,0.47667788268924316 - 0.8705721173107569,0.7284468250465833,0.03838608492889426,0.6532100985859506 - 0.803683551507216,0.8185824353448276,0.01898325573338265,0.7813752541073975 - 0.8557896165822576
KNN_Non_Calibrated,0.7410983606557375,0.017093560131459268,0.7075949827980774 - 0.7746017385133976,0.8135784693350417,0.061151435241435674,0.6937216562618278 - 0.9334352824082557,0.673625,0.10048322311773308,0.47667788268924316 - 0.8705721173107569,0.7284468250465833,0.03838608492889426,0.6532100985859506 - 0.803683551507216,0.7775053879310345,0.02181762973103544,0.734742833658205 - 0.820267942203864
GB_Calibrated,0.7351147540983607,0.018049532078050157,0.6997376712253824 - 0.7704918369713389,0.8479670614593255,0.06859824433895034,0.7135145025549829 - 0.9824196203636681,0.6185,0.08827068363045902,0.44548946008430035 - 0.7915105399156998,0.7073413015343055,0.03531472780054243,0.6381244350452424 - 0.7765581680233686,0.8046185344827586,0.016763806686122193,0.7717614733779591 - 0.837475595587558
GB_Non_Calibrated,0.7351147540983607,0.018049532078050157,0.6997376712253824 - 0.7704918369713389,0.8479670614593255,0.06859824433895034,0.7135145025549829 - 0.9824196203636681,0.6185,0.08827068363045902,0.44548946008430035 - 0.7915105399156998,0.7073413015343055,0.03531472780054243,0.6381244350452424 - 0.7765581680233686,0.7567688577586207,0.018406667016013258,0.7206917904072347 - 0.7928459251100066
CB_Calibrated,0.7447704918032786,0.016197312121825604,0.7130237600445004 - 0.7765172235620568,0.8782290894044857,0.06544194396519917,0.7499628792326953 - 1.0064952995762761,0.60665625,0.06827394986865905,0.47283930825742826 - 0.7404731917425718,0.712072246750458,0.029054424314755706,0.6551255750935369 - 0.7690189184073791,0.8125285560344828,0.013134627412061369,0.7867846863068425 - 0.8382724257621231
CB_Non_Calibrated,0.7447704918032786,0.016197312121825604,0.7130237600445004 - 0.7765172235620568,0.8782290894044857,0.06544194396519917,0.7499628792326953 - 1.0064952995762761,0.60665625,0.06827394986865905,0.47283930825742826 - 0.7404731917425718,0.712072246750458,0.029054424314755706,0.6551255750935369 - 0.7690189184073791,0.7621088362068965,0.013020650040844793,0.7365883621268408 - 0.7876293102869523
