xgb_non_calibrated_proba,cb_non_calibrated_proba,lgbm_non_calibrated_proba,gb_non_calibrated_proba,rf_non_calibrated_proba,nb_non_calibrated_proba,svm_non_calibrated_proba,knn_non_calibrated_proba,lr_non_calibrated_proba
0.7849974,0.5207241973241504,0.7207901050264846,0.6866081485861617,0.7399595446731915,0.9998825206071766,0.716074892389144,0.59564456043039,0.6389523971570235
0.11182388,0.4495926160502516,0.09744101642416204,0.2546869654101851,0.13644452971541016,0.008566392884942318,0.20661225520278687,0.21451762543625547,0.3178448692038352
0.57455814,0.4994908268739401,0.5583844520483908,0.5381925418599672,0.5538958324051788,0.9994654133989662,0.5934938607613929,0.42666561837135364,0.49200749813601075
0.3949125,0.4990460389218291,0.33468642531543097,0.502176165942841,0.5017606864813915,0.999692445312393,0.5384333154233186,0.4852866453379868,0.5209772377125547
0.48553085,0.49459471265323696,0.3864431081915339,0.4732887594734856,0.5386114621337958,0.9995207217376707,0.6107463805491097,0.46436076371574436,0.5440196454083014
0.62924284,0.5076500949353026,0.5363067795472202,0.63863590980288,0.6260184573850219,0.9990767845190789,0.5824765371682623,0.5823651308223979,0.5306217921519155
0.35328776,0.4878991094851667,0.31207758172821437,0.4676958348928525,0.492295843818311,0.9954697761241391,0.39209816564387723,0.38594631766196225,0.44033112183631473
0.70683557,0.5144685372654031,0.6457227297606493,0.6194107694485433,0.6534478394790251,0.9991929997193025,0.6456699885797929,0.5756681994137062,0.52444674316084
0.35328776,0.49860980737029326,0.31207758172821437,0.4664825667815552,0.48663211529309053,0.9128186848135016,0.48048638728093795,0.35744756061598976,0.4732081730393115
0.7142386,0.5241805246707638,0.6858942618933078,0.6566587465825061,0.6979753975205193,0.9999677226708068,0.7739993796059629,0.6946073732773833,0.6432702360525155
0.15941657,0.45153821977984954,0.16253101935872152,0.23294433540341317,0.12768808625042952,0.01826648628820999,0.36691315781983685,0.19067634139233425,0.3863306321652598
0.20539263,0.4490380571802798,0.23554008448114944,0.2987341962474885,0.1892466748873193,0.006718725192727107,0.19500603038680428,0.14446087388680634,0.3244229754061018
0.15465201,0.4691900869152229,0.16253101935872152,0.311411740108587,0.2210107067257606,0.14739671489203124,0.4058496609053387,0.2929596619030458,0.3953378272844751
0.8790883,0.5391085656541907,0.857849296084914,0.724072521535349,0.8850038333154222,0.9999988624045868,0.38941580995192404,0.786230698308051,0.7392417540235076
0.33156395,0.48833372466619507,0.3605636389079701,0.3476675359920407,0.3529030187580484,0.06877963226653248,0.5224874748872848,0.3057911470683314,0.46498842522706585
0.7516405,0.5276524231314239,0.7476405705152142,0.6459771967578016,0.7319915932242125,0.9998713441141321,0.7021412558433686,0.6314337141643573,0.6484028909875245
0.15465201,0.451348145225953,0.16253101935872152,0.2726315981464129,0.173340998390999,0.007295854670897691,0.16993180837917227,0.2228406593028966,0.30070344001169597
0.5689421,0.5184099181739212,0.525917221579501,0.5668732836987165,0.6336681253282068,0.9998472387036015,0.7239801549306908,0.5551867844753706,0.5728056642590363
0.33361349,0.48796063983839033,0.2767940479828174,0.42231973545401147,0.4629191917292982,0.9970543019848745,0.4985798022775154,0.4362798865170995,0.47495059565904263
0.84967816,0.5224761708132861,0.8347273578888863,0.6979637021243046,0.7993362882340018,0.9997483542701942,0.5889123091460741,0.5867835048102429,0.5751105026979288
0.27304047,0.4657273323479109,0.31038976692610676,0.3512256426267371,0.2984840998370123,0.05866088167901405,0.4683936632315442,0.3099262003438325,0.4491441848796339
0.7860279,0.5304653166717436,0.7540395618932693,0.6474037570464083,0.750269736453013,0.9996831706243169,0.6335716657285217,0.5537615211109584,0.6148888048425121
0.79555595,0.5264575929586889,0.7690345578959372,0.6610583847997931,0.749417117560476,0.9999029786831699,0.7115370624758197,0.6847518637908767,0.6260698883531252
0.22343501,0.44659950828867256,0.24707549944483526,0.35560332180618753,0.2559707586385311,0.004900624325089076,0.07306695557817375,0.24483611024152946,0.31836824464335295
0.12581138,0.44647235774758876,0.12618042701530638,0.28394551652717004,0.1769813024771983,0.001147713111993684,0.033310819702420676,0.20389779898642163,0.21944097158018944
0.14497268,0.4474929786266105,0.10718554863838395,0.25675342070138346,0.14805222822317854,0.009336497380648607,0.0802741343205213,0.18599357954225654,0.2872050401347879
0.5082232,0.47496802070449967,0.579616610596072,0.45764718956901856,0.4034992414373398,0.059663731208448104,0.41629814107831686,0.2548203323538739,0.40601579475535543
0.12021828,0.44381615513024497,0.11266984288422677,0.2622134246105364,0.12965792372798887,0.0003833752591638723,0.012761223821032341,0.11556424243462995,0.15843323359948194
0.40214962,0.4816677962259158,0.2795263220547883,0.4365818752041403,0.40482766847904006,0.9970940999588216,0.46265815379174546,0.36270748014075377,0.4405920635725996
0.2768571,0.4640989269427208,0.24606804744811445,0.3991450436523933,0.31097086112821043,0.03942550457805991,0.2601470293945666,0.37222676519340686,0.39905920252531574
0.15465201,0.45193923042581385,0.16253101935872152,0.24403614417709538,0.13807106193107316,0.011401093866218027,0.29922380655143105,0.17194695165844423,0.35196087716983154
0.4606753,0.4853063011253943,0.4937282412783489,0.4723020066102208,0.4107958616276222,0.1278081576163806,0.2763911631687486,0.28700164364403236,0.4041362700559329
0.3065626,0.46873575114557,0.25467735089580296,0.44478487804492167,0.3706703341965297,0.9140263485706146,0.025579052730296252,0.17848880078669363,0.2911415789267823
0.6602257,0.5215008292331813,0.5314798502531061,0.6119511436181339,0.6731894208293696,0.9998831243401869,0.6054791305077807,0.6043851221522478,0.6313557536813793
0.12581138,0.46858180114200876,0.11555191969104187,0.2875177112214768,0.19594646897370752,0.07881262479572967,0.30258646437074593,0.20487232903262687,0.3817322254932244
0.67175657,0.5091018828175634,0.63260863767096,0.5413321905558879,0.5895096766044775,0.9995300861747319,0.6428611747454314,0.4784677275818569,0.5176419496548611
0.30675653,0.47895185811778196,0.31438331518066176,0.3760875312539022,0.30583086470688825,0.4716219967906029,0.5352505986987086,0.3456889001091005,0.46457005631910303
0.5803154,0.5019807913178181,0.3930986551792737,0.49608780960617,0.5115045102526233,0.9973499922182449,0.1820482551939881,0.4401248281236506,0.4280831310059493
0.8828621,0.5448593922330779,0.8921105303342947,0.7191106391568314,0.84583386168161,0.9999092156970464,0.6473084101959354,0.7190140418875054,0.6656093336388517
0.7860279,0.5302096374302518,0.7912743066391232,0.657968617139179,0.7565730427988677,0.9996299110098352,0.6095755405862073,0.5580487304505704,0.6034001150128315
0.26192063,0.460048526602831,0.2895621052548093,0.33845174543661066,0.2821304103240971,0.04260349306502266,0.467749749770907,0.314651020882882,0.4256921700854569
0.7670165,0.5130088091510888,0.6507271074178888,0.597969977874265,0.6733902923001858,0.9999523693859065,0.6672290906149403,0.600623274438049,0.6283076654353659
0.7888103,0.5321742522392822,0.7690345578959372,0.6875684348867408,0.7707317468456023,0.9999543324485691,0.7689294368823882,0.7843197844061062,0.6593777057574534
0.24731514,0.4646209916015203,0.3148352792996914,0.31708378907230894,0.2609848361018728,9.528789888073178e-05,0.21551023111528117,0.22612181249023275,0.34414894286320835
0.5290138,0.50338294449402,0.3777928190472524,0.5482760921852508,0.5528369486380662,0.9830087593185122,0.47475293405423447,0.4853494085398101,0.5740185353036733
0.18262675,0.4559521318508214,0.1775046694136331,0.2601004573018505,0.17390748523359345,0.06531969979418419,0.23404369408389042,0.21168524269474726,0.34659350099492897
0.7860279,0.5303838181268283,0.7731821311485546,0.6377067390008461,0.7519233634411213,0.9971733455658087,0.7274517434666693,0.6808972678097586,0.6573888689948467
